Field Name,Data Type,Values/Format,Validated (format sensitive)*,Description
report_period_start,DATE,YYYY-MM-DD,yes,Start date of MMWR week period (for aggregate reporting)
report_period_end,DATE,YYYY-MM-DD,yes,End date of MMWR week period (for aggregate reporting)
date_type,TEXT,"""cccd"", ""jurisdiction date hierarchy""",yes,"Calculated Case Counting Date, otherwise specify (Note: if other, please reach out to have your date included in valdiation value set. Strong preference for hierarchical date types)"
time_unit,TEXT,"""week""",yes,Time aggregation unit: 'week'
disease_name,TEXT,"""measles"", ""pertussis"", ""meningococcus""",yes,"Name of the disease (e.g., measles, pertussis)"
disease_subtype,TEXT,"""A"", ""B"", ""C"", ""total"", ""W"", ""X"", ""Y"", ""Z"", ""unknown"", ""unspecified""",yes,"Subspecies, type, strain, or other distinguishing classification of the disease or pathogen that is important for reporting and tracking. For invasive meningococcal disease, this enables the option to provide serogroup once/if it is available. Use ""total"" for non-subtype-stratified aggregations or diseases without subtype reporting (measles, pertussis). Use ""unknown"" when subtyping was not performed. Use ""unspecified"" when subtype is known but suppressed."
reporting_jurisdiction,TEXT,"""AL"", ""AK"", ""AZ"", ""..."", ""WY"", ""DC"", ""NYC"", {other territory, i.e., ""PR"")",no,"Abbreviation for the reporting state, city, or territory"
state,TEXT,"""AL"", ""AK"", ""AZ"", ""AR"", ""AS"", ""CA"", ""CO"", ""CT"", ""DE"", ""DC"", ""FL"", ""GA"", ""GU"", ""HI"", ""ID"", ""IL"", ""IN"", ""IA"", ""KS"", ""KY"", ""LA"", ""ME"", ""MD"", ""MA"", ""MI"", ""MN"", ""MS"", ""MO"", ""MT"", ""NE"", ""NV"", ""NH"", ""NJ"", ""NM"", ""NY"", ""NC"", ""ND"", ""MP"", ""OH"", ""OK"", ""OR"", ""PA"", ""PR"", ""RI"", ""SC"", ""SD"", ""TN"", ""TX"", ""TT"", ""UT"", ""VT"", ""VA"", ""VI"", ""WA"", ""WV"", ""WI"", ""WY""",yes,Two-letter abbreviation for the state or territory of the jurisdiction
geo_unit,TEXT,"""county"", ""state"", ""region"", ""planning area"", ""hsa"", NA",yes,"Type of sub-jurisdiction level geography unit (ie county, planning area)"
geo_name,TEXT,"{name of geo_unit element}, ""international resident"", ""unspecified""",no,"Name of the county or other sub-jurisdiction level geography unit in which the case occurs; ""international resident"" should be reported for cases reported from a jurisdiction but that are an international resident."
age_group,TEXT,"""<1 y"", ""1-4 y"", ""5-11 y"", ""12-18 y"", ""19-22 y"", ""23-44 y"", ""45-64 y"", "">=65 y"", ""total"", ""unknown"", ""unspecified""",yes,Standardized age group
count,INTEGER,n,yes,Aggregate count of specified outcome for the specified group for this time period
confirmation_status,TEXT,"""confirmed"", ""confirmed and probable""",yes,Case confirmation status reported
outcome,TEXT,"""cases"", ""hospitalizations"", ""deaths""",yes,Epidemiologic outcome reported (NOTE for pilot: cases only)
